,actual values,predicted values
146,[-1.27340552],[-1.37779034]
147,[0.0098553],[-0.17925429]
148,[-0.32784492],[-0.58750898]
149,[-0.49669502],[-0.4549362]
150,[-0.39538496],[-0.47201327]
151,[1.00944794],[2.2618522]
152,[-0.59800509],[-0.73631658]
153,[-1.13832543],[-1.26770385]
154,[-0.75334719],[-0.64877809]
155,[-1.01675336],[-1.30100462]
156,[0.07739534],[0.03404654]
157,[-0.90193528],[-0.92778514]
158,[0.41509556],[0.76570199]
159,[-0.59800509],[-0.41678053]
160,[0.21247543],[-0.19946644]
161,[-0.10496277],[-0.161287]
162,[-0.54397305],[-0.52920027]
163,[0.22598344],[-0.16448713]
164,[-0.67905314],[-0.61210105]
165,[-0.37512295],[-0.03498527]
166,[-0.94921331],[-0.54376328]
167,[-1.27340552],[-1.59092503]
168,[-1.23288149],[-1.20188979]
169,[0.08414935],[-0.12990588]
170,[-0.29407489],[-0.31570288]
171,[0.19896742],[0.08234849]
172,[0.00234485],[-0.20294042]
173,[0.91354108],[0.87115986]
174,[-0.84790325],[-0.65205073]
175,[-1.2396355],[-1.29014344]
176,[-0.12522479],[-0.04685442]
177,[-0.19276483],[-0.0031889]
178,[-0.71282316],[-0.63214687]
179,[1.12426601],[0.9392015]
180,[-0.69931515],[-0.51064191]
181,[1.29311612],[1.02254439]
182,[-0.26030487],[-0.03508662]
183,[0.68458033],[0.90219202]
184,[0.61771569],[0.45133863]
185,[-1.35445357],[-1.23739502]
186,[-0.82088723],[-0.58210501]
187,[1.7388804],[1.39781879]
188,[-0.26705888],[-0.16869803]
189,[-0.90193528],[-0.95673839]
190,[-0.26030487],[0.27493144]
191,[-1.00324535],[-1.01044876]
192,[-0.26030487],[-0.10231843]
193,[2.30621677],[2.03164252]
194,[-0.80062522],[-0.34670267]
195,[0.28676948],[0.47829188]
196,[-0.12522479],[-0.20700035]
197,[2.56286893],[2.00772807]
198,[-0.53046505],[-0.33914195]
199,[-0.53721905],[-0.66275539]
200,[-1.0107558],[-0.66603909]
201,[-0.05768474],[-0.00114343]
202,[0.0098553],[-0.45596085]
203,[-0.42915498],[-0.54867424]
204,[1.63081633],[2.27228714]
205,[-0.11171678],[-0.11201617]
206,[-1.27340552],[-0.8611184]
207,[0.21247543],[-0.15458592]
208,[-0.36161494],[-0.37529111]
209,[0.24624545],[0.53600721]
210,[1.02295595],[0.97797485]
211,[0.7865658],[0.89981596]
212,[-0.39538496],[-0.50024049]
213,[2.03605659],[1.9390042]
214,[-0.462925],[-0.65208435]
215,[0.4826356],[0.28708745]
216,[-0.15899481],[-0.26410294]
217,[-0.12522479],[-0.32790416]
218,[1.00944794],[1.00724019]
219,[-1.17209546],[-1.16419086]
220,[-0.15899481],[0.01591828]
221,[2.30621677],[1.94646213]
222,[1.59029231],[0.97886062]
223,[-0.05768474],[0.0271562]
224,[0.82033582],[0.80992359]
225,[0.98918592],[0.05665872]
226,[0.61771569],[0.4658366]
227,[0.53666764],[0.25813346]
228,[-1.27340552],[-1.04042968]
229,[-0.19276483],[-0.50356951]
230,[-0.59800509],[-0.70397067]
231,[1.43832721],[0.45168131]
232,[1.32688614],[1.02845267]
233,[1.12426601],[0.98290802]
234,[0.17870541],[-0.01724421]
235,[2.10359664],[2.29191338]
236,[0.9554159],[1.09932001]
237,[0.80682781],[0.80665036]
238,[-0.27381288],[-0.40295636]
239,[-0.73308517],[-0.71874031]
240,[2.9816172],[2.89237577]
241,[-1.32068355],[-1.35456763]
242,[0.15168939],[0.25955252]
243,[0.85410584],[1.25865912]
244,[-0.83439524],[-0.67560876]
245,[-0.9357053],[-0.95019392]
246,[-1.13832543],[-1.20674715]
247,[2.17113668],[1.87021377]
248,[0.87436785],[0.90088879]
249,[2.22516871],[1.26738359]
250,[0.41509556],[0.80104086]
251,[-0.71957717],[-0.62422823]
252,[2.25218473],[1.53769956]
253,[-0.88167327],[-0.95101818]
254,[0.75279577],[0.91748349]
255,[1.4281962],[1.10379744]
256,[-0.17250282],[-0.31559277]
257,[-0.26106132],[-0.17507503]
258,[-0.02391472],[-0.1599]
259,[-0.36161494],[-0.32357956]
260,[0.17870541],[0.3168132]
261,[-1.34094556],[-1.16349884]
262,[-0.51020303],[-0.6742671]
263,[-1.13832543],[-1.23104818]
264,[-0.74659318],[-0.53704852]
265,[-0.69931515],[-0.21995079]
266,[0.17870541],[0.25594416]
267,[0.04362532],[0.69705016]
268,[0.85410584],[0.83217604]
269,[0.88787586],[0.62492034]
270,[-1.05727738],[-1.02968858]
271,[0.13142738],[0.31387063]
272,[-0.26030487],[0.37454556]
273,[-0.27381288],[0.21843334]
274,[-0.59125108],[-0.77129642]
275,[-0.80062522],[-0.64486861]
276,[-0.42915498],[-0.3120785]
277,[-0.9357053],[-0.80818746]
278,[0.28001547],[0.21471898]
279,[-1.01675336],[-0.76852252]
280,[0.20572142],[0.95271427]
281,[0.31378549],[0.76142759]
282,[-0.29407489],[0.05231088]
283,[-0.53046505],[-0.71712695]
284,[-0.51695704],[-0.28631899]
285,[-0.84790325],[-0.53436626]
286,[0.33404751],[0.18707401]
287,[-0.32784492],[-0.30701468]
288,[1.32688614],[1.05384759]
289,[0.75279577],[0.36249489]
290,[-1.01675336],[-1.04332457]
291,[0.55017564],[0.75698962]
292,[0.70214074],[1.44326026]
293,[-0.96947533],[-1.19628653]
294,[-0.97622933],[-0.94557661]
295,[0.17870541],[0.12950327]
296,[-1.27340552],[-1.32105578]
297,[-0.20627284],[-0.17119043]
298,[-0.48994102],[-0.4313071]
299,[-1.37471558],[-1.1400773]
300,[-1.18560346],[-0.99245751]
301,[-0.90193528],[-0.75195684]
302,[-0.74659318],[-0.86174234]
303,[-0.33535537],[-0.39683544]
304,[-0.59800509],[-0.53031123]
305,[-1.03701537],[-1.05668973]
306,[-1.01675336],[-1.10080004]
307,[0.98167547],[1.29439854]
308,[-0.26030487],[-0.10261183]
309,[-0.96947533],[-1.08065666]
310,[0.82033582],[0.80189842]
311,[-0.59125108],[-0.47107894]
312,[-0.22653485],[-0.14543275]
313,[-1.13832543],[-0.9627622]
314,[-1.20586548],[-1.31525306]
315,[2.52834246],[2.02894289]
316,[0.28001547],[0.67557587]
317,[-0.83439524],[-0.69432121]
318,[0.51640562],[0.04039656]
319,[-0.65279357],[-0.43456812]
320,[-0.90193528],[-0.86530037]
321,[-0.09145477],[-0.17381799]
322,[-0.22653485],[-0.37029389]
323,[-0.56423507],[-0.39110222]
324,[-0.45692745],[-0.43210694]
325,[-1.00324535],[-0.93508124]
326,[-0.73308517],[-0.85864944]
327,[0.02936086],[-0.1313408]
328,[-1.03777182],[-0.94339599]
329,[-0.33459892],[-0.48534137]
330,[-0.01716072],[-0.01077303]
331,[-0.01378372],[-0.00950065]
332,[0.24624545],[0.35276463]
333,[-1.03701537],[-1.10972769]
334,[-0.71957717],[-0.59307588]
335,[-0.34135292],[-0.35925134]
336,[-0.96947533],[-0.84112097]
337,[-0.39538496],[-0.41254061]
338,[0.0098553],[0.08546729]
339,[-1.47602565],[-1.58463856]
340,[-0.49669502],[-0.47298686]
341,[1.90097651],[1.78647185]
342,[0.41509556],[0.43862743]
343,[-1.2396355],[-1.17600414]
344,[0.9554159],[0.55594561]
345,[-1.27340552],[-1.06096072]
346,[-0.1522408],[-0.45977406]
347,[-0.59800509],[-0.05268175]
348,[1.29311612],[1.97399269]
349,[1.7321264],[1.63687471]
350,[0.51640562],[0.76106183]
351,[-0.81413323],[-1.05757239]
352,[-1.10455541],[-0.80993972]
353,[2.94784717],[2.74588902]
354,[-0.29407489],[0.09435098]
355,[-0.02391472],[0.12451565]
356,[0.65148571],[0.18661727]
357,[-0.96272132],[-1.04384223]
358,[0.73928776],[0.33064345]
359,[1.56327629],[1.32016636]
360,[-0.69931515],[-0.50036169]
361,[-1.07078539],[-1.19244154]
362,[0.90813787],[0.6503556]
363,[0.55017564],[0.99289324]
364,[0.46912759],[0.53809573]
365,[0.75279577],[0.58540782]
366,[0.41509556],[0.20739523]
367,[-0.39538496],[-0.50302756]
368,[-0.37512295],[0.13058198]
369,[-0.02391472],[0.30914698]
370,[-0.96947533],[-0.64539648]
371,[0.65148571],[0.29948122]
372,[-0.34135292],[-0.17981446]
373,[-0.66554513],[-0.42730876]
374,[0.11116536],[-0.01725086]
375,[-0.51830784],[-0.49391694]
376,[-0.90193528],[-1.19831671]
377,[0.19896742],[0.36636635]
378,[-0.02391472],[-0.05777329]
379,[-0.63177511],[-0.62929026]
380,[0.14493539],[-0.02270355]
381,[1.98877856],[1.262903]
382,[1.50249025],[1.72080834]
383,[0.68525573],[0.08831469]
384,[-0.51358003],[-0.58334028]
385,[0.40158755],[0.24032399]
386,[-0.09145477],[0.06619676]
387,[-0.56423507],[-0.47016385]
388,[-0.80062522],[-0.83867169]
389,[-0.31433691],[-0.30737912]
390,[-0.02391472],[-0.02191167]
391,[0.68525573],[0.47151013]
392,[0.45561958],[0.76725263]
393,[-0.19951883],[-0.44788048]
394,[0.28001547],[0.23309126]
395,[-0.3075829],[0.11371262]
396,[-0.55748106],[-0.4558691]
397,[0.26988447],[-0.1103068]
398,[-0.69931515],[-0.31339249]
399,[2.10359664],[1.82634796]
400,[-0.84790325],[-0.66077565]
401,[-0.27381288],[-0.56050342]
402,[1.56327629],[1.5338363]
403,[0.44886558],[0.92003566]
404,[0.49614361],[0.35717335]
405,[-0.04417674],[-0.25546852]
406,[-0.42915498],[-0.56145312]
407,[0.14493539],[0.27360156]
408,[-1.00324535],[-1.14386996]
409,[0.60420768],[0.36653309]
410,[0.14493539],[0.18397001]
411,[1.21206807],[1.3270162]
412,[-1.07078539],[-1.04949652]
413,[0.31378549],[0.28871642]
414,[-0.02391472],[0.16787296]
415,[0.82033582],[1.20576269]
416,[1.15803603],[1.07873037]
417,[1.52950627],[1.08737529]
418,[-1.27340552],[-1.30592313]
419,[-0.65541413],[-0.551513]
420,[0.52315963],[0.91899687]
421,[0.0098553],[0.27102765]
422,[0.13142738],[-0.18958479]
423,[-0.80062522],[-0.73564213]
424,[0.07739534],[0.01945614]
425,[-0.56423507],[-0.22602245]
426,[0.67850173],[1.18810193]
427,[0.24624545],[0.66823399]
428,[0.07739534],[0.42466795]
429,[-1.07078539],[-1.10872561]
430,[-0.53046505],[-0.66154993]
431,[0.85410584],[1.16433872]
432,[0.31378549],[-0.43892749]
433,[0.38132554],[0.35037359]
434,[0.15844339],[-0.00330761]
435,[-0.39538496],[-0.02740426]
436,[1.22557608],[0.56370541]
437,[-0.59800509],[-0.62751571]
438,[-0.66689593],[-0.55092166]
439,[0.4826356],[0.67161425]
440,[-1.18560346],[-1.03087601]
441,[1.46196623],[1.51675036]
442,[0.34755551],[0.09920923]
443,[0.07739534],[-0.10552721]
444,[-0.17250282],[-0.01558587]
445,[-0.44266299],[-0.35013754]
446,[-1.17209546],[-0.88959706]
447,[0.08414935],[-0.54847022]
448,[-1.21261948],[-1.31890145]
449,[-1.44225563],[-1.40495353]
450,[-1.10455541],[-1.08710478]
451,[0.17870541],[-0.01982488]
452,[0.51640562],[1.59085591]
453,[0.61096168],[-0.01068336]
454,[0.43198057],[0.1177053]
455,[-0.80062522],[-0.73782448]
456,[-1.10455541],[-1.17637047]
457,[1.54976828],[1.26579133]
458,[0.98918592],[0.8611357]
459,[-0.96947533],[-0.94428633]
460,[-0.40889297],[-0.307948]
461,[0.07739534],[-0.01260573]
462,[-1.57733571],[-1.31870047]
463,[-0.32784492],[-0.38215282]
464,[1.66458636],[1.97266696]
465,[-1.10455541],[-0.57573097]
466,[1.83343646],[1.65062348]
467,[-1.07753939],[-1.10917031]
468,[-0.13273524],[0.14297355]
469,[-0.59800509],[-0.42224602]
470,[-0.39538496],[-0.29836237]
471,[-0.56423507],[-0.46375373]
472,[-0.49669502],[-0.706552]
473,[-0.53046505],[-0.60389098]
474,[-1.03701537],[-0.93083689]
475,[0.51640562],[0.44739422]
476,[-1.27340552],[-1.12152475]
477,[-0.26030487],[0.06179265]
478,[-0.86816526],[-0.96137268]
479,[-0.49669502],[-0.11358235]
480,[-0.20627284],[-0.00439481]
481,[-0.49669502],[-0.43935281]
482,[2.03530014],[1.31134504]
483,[-0.9357053],[-0.84382124]
484,[0.71902575],[0.74150185]
485,[-0.31433691],[-0.07893359]
486,[-0.79387121],[-0.7665108]
487,[-0.05768474],[0.20602246]
488,[1.63081633],[1.47032267]
489,[-0.90193528],[-0.54081145]
490,[-0.15899481],[0.18886204]
491,[-0.12522479],[-0.28630752]
492,[-0.65203712],[-0.45852]
493,[-0.53046505],[-0.58017869]
494,[0.9554159],[1.38543293]
495,[-0.29407489],[0.28498702]
496,[0.33404751],[0.42023133]
497,[-1.13832543],[-1.07866176]
498,[-0.88167327],[-0.97107428]
499,[-0.63177511],[-0.74046352]
500,[-1.20586548],[-1.29876431]
501,[1.29311612],[1.70361039]
502,[-0.65203712],[-0.576855]
503,[-0.26030487],[-0.42798187]
504,[1.46196623],[1.47461921]
505,[-0.80062522],[-0.56194264]
506,[-0.45076779],[-0.33850687]
507,[-0.88167327],[-0.98288194]
508,[0.47512515],[0.36483705]
509,[1.63081633],[1.83544771]
510,[0.14493539],[-0.19869918]
511,[0.65148571],[0.8047096]
512,[-0.462925],[-0.73749851]
513,[-1.23288149],[-1.10101215]
514,[-0.53046505],[-0.51196228]
515,[-0.09145477],[-0.05867132]
516,[0.09765736],[0.27340964]
517,[-0.05768474],[-0.01650366]
518,[-0.26030487],[-0.28916017]
519,[-1.07078539],[-1.18395759]
520,[2.30621677],[1.73546438]
521,[-0.6115131],[-0.44269032]
522,[-1.05727738],[-0.93690964]
523,[-0.02391472],[-0.114793]
524,[0.11116536],[0.0527768]
525,[-0.53046505],[-0.7779992]
526,[-1.40848561],[-1.44168579]
527,[-0.24679686],[-0.56456039]
528,[-0.32784492],[-0.21305199]
529,[0.41509556],[0.54579817]
530,[-0.80062522],[-0.71881339]
531,[-0.22653485],[-0.1625073]
532,[0.21247543],[0.15209819]
533,[0.65148571],[-0.0072302]
534,[0.31378549],[0.25998352]
535,[-0.15899481],[-0.22454986]
536,[-0.39538496],[-0.21283405]
537,[-1.30717554],[-1.15684327]
538,[-0.53046505],[-0.69381524]
539,[-0.34135292],[-0.31308494]
540,[-0.80062522],[-0.75949834]
541,[-0.85465725],[-0.69533117]
542,[-0.69256115],[-0.49891779]
543,[3.21800735],[2.45578039]
544,[0.55017564],[0.73869997]
545,[-0.49669502],[-0.61400638]
546,[0.75279577],[0.986136]
547,[1.29311612],[0.6007665]
548,[-0.05768474],[0.31604437]
549,[0.55017564],[0.02639326]
550,[-1.13832543],[-0.98402606]
551,[-1.28691353],[-1.2374404]
552,[-0.90193528],[-0.7400633]
553,[-0.78711721],[-0.11759329]
554,[-0.26030487],[-0.23494631]
555,[-1.0842934],[-1.11978566]
556,[0.11116536],[0.24738281]
557,[0.61771569],[0.85477916]
558,[1.54976828],[1.70522418]
559,[-1.27340552],[-1.31454132]
560,[-0.67905314],[-0.3360278]
561,[0.14493539],[0.35448566]
562,[2.37375681],[2.82957219]
563,[-1.07078539],[-0.99933052]
564,[-0.39538496],[-0.20142102]
565,[-0.26030487],[0.05060237]
566,[-0.12522479],[-0.21950939]
567,[-1.03701537],[-0.99936229]
568,[-0.71957717],[-0.7167894]
569,[-1.13832543],[-1.08068654]
570,[0.11791937],[0.2038397]
571,[1.69835638],[1.69222254]
572,[0.57643521],[1.10104713]
573,[-0.53046505],[-0.6277329]
574,[0.38132554],[-0.06741235]
575,[1.34714815],[2.04712322]
576,[2.23867672],[2.6527925]
577,[-1.09780141],[-1.13950258]
578,[-0.69931515],[-0.61178111]
579,[-0.56423507],[-0.53248859]
580,[-0.23328886],[-0.28399097]
581,[-0.80062522],[-0.78419025]
582,[-0.69931515],[-0.47993845]
583,[2.23867672],[3.06145949]
584,[1.32688614],[1.80074714]
585,[-0.96947533],[-1.03316769]
586,[0.00234485],[-0.0144912]
587,[2.57637694],[1.97982113]
588,[-0.81413323],[-0.65828403]
589,[-1.13832543],[-1.01606586]
590,[-0.09145477],[0.11498891]
591,[-0.24004286],[-0.58137867]
592,[-0.49669502],[-0.6603698]
593,[0.28001547],[0.32128472]
594,[-1.07078539],[-1.01613691]
595,[-0.19276483],[-0.20013191]
596,[0.41509556],[0.4455318]
597,[0.04362532],[0.12618488]
598,[0.51640562],[0.10852112]
599,[-0.34135292],[-0.2988921]
600,[0.41509556],[0.5622896]
601,[-1.10455541],[-0.9562081]
602,[-0.56423507],[-0.6099093]
603,[-0.39538496],[0.04808088]
604,[-0.59800509],[-0.55508283]
605,[-0.15899481],[-0.08440411]
606,[-1.27340552],[-1.22108307]
607,[0.34755551],[0.56120833]
608,[-0.00365271],[-0.15829852]
609,[-1.2396355],[-1.04736248]
610,[0.07739534],[0.27923419]
611,[2.2049067],[2.07429949]
612,[-0.12522479],[0.28233987]
613,[0.51640562],[0.73594857]
614,[1.02295595],[1.15555695]
615,[-0.94921331],[-1.01338724]
616,[-0.60551554],[-0.86609926]
617,[0.73928776],[1.05989386]
618,[-0.36161494],[-0.42679634]
619,[-1.46251764],[-1.15133452]
620,[0.41509556],[-0.35324786]
621,[0.96892391],[0.36669147]
622,[-0.03742273],[-0.19264967]
623,[-0.69931515],[-0.13290164]
624,[2.17451368],[2.01702539]
625,[-0.35486093],[-0.5142568]
626,[-0.19276483],[-0.48063586]
627,[2.17113668],[1.84594479]
628,[2.23867672],[0.89764029]
629,[-0.73308517],[-0.54300598]
630,[0.24624545],[0.19295131]
631,[1.21206807],[0.82276285]
632,[2.40752683],[2.0910601]
633,[-1.48953366],[-1.5806187]
634,[-0.48994102],[-0.46647522]
635,[0.55017564],[0.5417028]
636,[0.14493539],[-0.06248425]
637,[2.19139869],[1.28527865]
638,[-1.13832543],[-0.99083161]
639,[-0.1387328],[-0.32190409]
640,[-0.85465725],[-0.80360226]
641,[1.90097651],[2.0980927]
642,[-1.21261948],[-1.0745363]
643,[1.22557608],[1.36859609]
644,[-0.96947533],[-1.05472676]
645,[1.2593461],[0.80727602]
646,[-0.19276483],[-0.38358993]
647,[3.38685745],[2.81171955]
648,[-0.81413323],[-0.66218728]
649,[1.27285411],[1.45369308]
650,[-0.02391472],[0.51897703]
651,[1.63081633],[1.46390011]
652,[-1.34094556],[-1.07913936]
653,[-0.19276483],[0.00256341]
654,[-1.10455541],[-1.0043789]
655,[0.36781753],[-0.06417364]
656,[1.34714815],[1.49515806]
657,[-0.63177511],[-0.81569532]
658,[0.04362532],[-0.19939956]
659,[-0.9289513],[-0.73598599]
660,[0.41509556],[-0.0675615]
661,[-0.22653485],[-0.47326391]
662,[-1.01675336],[-1.03080787]
663,[-0.7668552],[-0.76122254]
664,[-0.69931515],[-0.28149121]
665,[-1.01675336],[-1.05337901]
666,[1.30662413],[1.809775]
667,[-0.3075829],[-0.29608267]
668,[-0.73308517],[-0.55333978]
669,[0.31378549],[0.57860862]
670,[-0.65203712],[-0.10161148]
671,[0.9554159],[0.54807553]
672,[-0.49669502],[-0.23738683]
673,[0.68525573],[0.23838819]
674,[0.34755551],[0.37153934]
675,[1.6570759],[1.22106284]
676,[-0.12522479],[-0.02121765]
677,[-0.69256115],[-0.73857389]
678,[0.82033582],[0.60855708]
679,[-0.11171678],[0.19565834]
680,[1.75238841],[1.17484838]
681,[-0.3089337],[-0.4506641]
682,[0.11116536],[-0.12270613]
683,[-0.09145477],[0.43114162]
684,[0.07739534],[0.06626528]
685,[-1.13832543],[-0.93496432]
686,[-0.19276483],[0.14731565]
687,[1.19856006],[0.96240019]
688,[-0.69931515],[-0.72404378]
689,[0.44886558],[0.13269337]
690,[0.35430952],[1.00538726]
691,[-0.42991143],[-0.47480017]
692,[-0.39538496],[-0.22967044]
693,[0.55017564],[0.45357178]
694,[1.12426601],[0.94078349]
695,[-0.34135292],[-0.18296512]
696,[-0.1387328],[-0.3409034]
697,[-1.34094556],[-1.29600998]
698,[-0.1387328],[-0.27797449]
699,[-0.81413323],[-0.80361485]
700,[-0.39538496],[-0.40845945]
701,[-0.1522408],[-0.46503858]
702,[-0.00365271],[0.12888542]
703,[-0.91544329],[-0.8562036]
704,[0.24624545],[-0.2003627]
705,[-0.19276483],[-0.22965125]
706,[0.11116536],[0.08314513]
707,[0.88112186],[1.0186471]
708,[0.28001547],[-0.03099067]
709,[-1.07078539],[-1.14265375]
710,[-0.9357053],[-0.60410441]
711,[-0.66554513],[-0.62334941]
712,[1.83343646],[1.79312141]
713,[-0.51695704],[-0.67992955]
714,[-0.19276483],[-0.293049]
715,[0.0098553],[-0.16808739]
716,[0.55017564],[0.54851087]
717,[1.29311612],[1.2956106]
718,[-0.44266299],[-0.57465517]
719,[-0.71282316],[-0.70020383]
720,[-0.3075829],[-0.09581804]
721,[-0.59800509],[-0.57433248]
722,[0.55017564],[0.50851544]
723,[0.28001547],[0.23161682]
724,[-0.31433691],[-0.46612028]
725,[-0.02391472],[-0.07553524]
726,[0.06650789],[-0.02888969]
727,[1.12426601],[1.39396205]
728,[-0.12522479],[-0.12243593]
729,[-0.67905314],[-0.68274824]
730,[-0.65203712],[-0.54999574]
731,[-1.00324535],[-0.55145941]
732,[-1.2396355],[-0.72147711]
733,[-0.7668552],[-0.7814049]
734,[0.55017564],[0.77944228]
735,[0.21247543],[-0.04495847]
736,[-0.09145477],[-0.31641601]
737,[1.15803603],[2.03626426]
738,[-0.9357053],[-0.88247393]
739,[0.07739534],[-0.03375044]
740,[-0.05768474],[-0.30686108]
741,[1.15803603],[0.96711888]
742,[-0.40289541],[-0.3125119]
743,[0.26650746],[0.74116244]
744,[-1.12481743],[-1.27137452]
745,[0.41509556],[1.24255944]
746,[-0.66554513],[-1.18119071]
747,[-1.00324535],[-0.84318608]
748,[-1.18898047],[-1.37892713]
749,[-0.26030487],[-0.03815512]
750,[-0.12522479],[-0.03097443]
751,[0.21247543],[-0.11132216]
752,[1.65107835],[1.85472882]
753,[-0.9357053],[-0.72118398]
754,[-0.37512295],[-0.36022345]
755,[-0.32784492],[-0.46577891]
756,[0.4826356],[0.19967708]
757,[3.04915724],[1.84125639]
758,[-0.74659318],[-0.75791459]
759,[-0.73308517],[-0.63007217]
760,[0.13742493],[0.14670383]
761,[1.39442618],[1.69055466]
762,[-0.19276483],[-0.00485033]
763,[-0.05768474],[0.26860589]
764,[-0.32784492],[-0.22541161]
765,[0.11116536],[-0.11475237]
766,[0.19896742],[0.07777252]
767,[-0.87567571],[-0.91967464]
